2022-05-12 11:56:27.919[1652367387919] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/bookTicker
2022-05-12 11:56:28.259[1652367388259] | INFO  | BinanceAsync-1 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/ticker/24hr
2022-05-12 11:56:29.494[1652367389494] | WARN  | BinanceAsync-1 | c.o.b.b.botbinance.tasks.BinanceTask - *********************END LOAD DATA*********************************
2022-05-12 11:57:26.158[1652367446158] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:57:26.158[1652367446158] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:57:26.159[1652367446159] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *********************LOAD DATA*************************************
2022-05-12 11:57:26.159[1652367446159] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *********************INIT BINARIES*********************************
2022-05-12 11:57:26.159[1652367446159] | WARN  | BinanceAsync-3 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:57:26.159[1652367446159] | WARN  | BinanceAsync-4 | c.o.b.b.botbinance.tasks.BinanceTask - *******************************************************************
2022-05-12 11:57:26.159[1652367446159] | INFO  | BinanceAsync-3 | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/exchangeInfo
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-5   | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=GLMRUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-14  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BIFIUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-12  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=ENSUSDT&interval=1m
2022-05-12 11:57:26.172[1652367446172] | INFO  | Thread-10  | c.b.c.client.utils.RequestHandler    - GET https://api.binance.com/api/v3/klines?symbol=BNBUPUSDT&interval=1m
